		Astrodon Photometrics  Johnson/Cousins Filters															
Wavelength (nm)	UV	B	V	Rc	Ic												
488	3.28E-05	23.84278488	37.45984268	0.00288647	0.003424149
489	3.39E-05	22.42675018	40.61793518	0.000880766	0.00305684 
490	3.39E-05	21.02234268	43.56338501	0.001208437	0.003116219
491	3.03E-05	19.68531227	46.34398651	0.004301351	0.003584711
492	2.15E-05	18.39570236	49.23847961	0.008035479	0.004392982
493	1.03E-05	17.17510605	52.25584412	0.006735935	0.005109241
494	1.35E-05	16.03723335	55.45787811	0.002691829	0.005023342
495	1.12E-05	14.88745975	58.78541565	0.000700863	0.004099854
496	1.59E-05	13.69186497	62.01852036	0.000469105	0.002972692
497	1.15E-05	12.53896904	64.90538788	0.000503868	0.002197692
498	1.80E-05	11.40830994	67.54693604	0.000871284	0.001801678
499	0.000134405	10.31311703	69.86044312	0.008685122	0.001692433
500	0.000249366	9.294883728	72.13447571	0.035616525	0.001904206
501	0.00017773	8.366891861	74.16110229	0.050905935	0.002549679
502	5.65E-05	7.508181572	75.97024536	0.025890701	0.003838456
503	1.38E-05	6.745959759	77.67658234	0.003313192	0.005395653
504	1.71E-05	6.048933983	79.28509521	0.001607953	0.005688974
505	1.10E-05	5.39440155	80.87128448	0.002213969	0.004203881
506	1.33E-05	4.800577164	82.48292542	0.007021232	0.002388287
507	1.07E-05	4.255819321	84.12560272	0.014737983	0.001338364
508	1.10E-05	3.773418903	85.60134888	0.015128143	0.000862222
509	7.51E-06	3.346346617	86.88938904	0.007206164	0.000641099
510	1.11E-05	2.986847162	87.98058319	0.001797009	0.000548127
511	1.48E-05	2.682823658	89.1116333	0.000864527	0.000496163
512	9.82E-06	2.435585022	90.18837738	0.000664915	0.000538265
513	1.16E-05	2.228979349	91.21676636	0.000674106	0.000608407
514	1.78E-05	2.062449217	92.12472534	0.000870444	0.000785132
515	1.10E-05	1.923654079	92.89506531	0.001500802	0.001114972
516	1.10E-05	1.803418636	93.46270752	0.004646708	0.001757025
517	2.40E-05	1.70577395	93.8997879	0.015892649	0.002824166
518	1.69E-05	1.619686127	94.41902924	0.026262287	0.003918552
519	5.85E-06	1.542307377	95.00413513	0.020599877	0.004342183
520	2.63E-05	1.472867727	95.47608185	0.008855496	0.003711626
521	1.40E-05	1.395306945	95.71820831	0.004006952	0.002781631
522	1.79E-05	1.297876835	95.73340607	0.003388727	0.002129968
523	1.32E-05	1.164856791	95.63294983	0.004154805	0.001881698
524	8.03E-06	1.006406307	95.39765167	0.007601481	0.00184777 
525	1.12E-05	0.828436971	95.30638885	0.019456789	0.002145093
526	1.60E-05	0.65961355	95.40335846	0.035300292	0.002743026
527	1.40E-05	0.520117462	95.53117371	0.035946235	0.003817705
528	3.61E-06	0.414317489	95.67700195	0.020643624	0.004873832
529	9.80E-06	0.340258807	95.71394348	0.008907353	0.005002308
530	1.13E-05	0.293007225	95.47635651	0.005157336	0.004009471
531	1.57E-05	0.266694278	95.15670013	0.00411331	0.00263413 
532	1.60E-05	0.26583907	94.75679779	0.003943421	0.001706567
533	2.45E-05	0.290720433	94.44837952	0.004460184	0.001192207
534	4.36E-05	0.359444618	94.2766571	0.00568278	0.000952651
535	4.70E-05	0.494448483	94.17353058	0.008335182	0.000817963
536	3.27E-05	0.612086773	93.97303009	0.014301183	0.000795951
537	1.61E-05	0.459903747	93.6756897	0.028832268	0.000798406
538	1.46E-05	0.213269189	93.20301056	0.070133768	0.000895465
539	1.19E-05	0.090011701	92.60830688	0.172486976	0.001121322
540	1.04E-05	0.042015649	91.89242554	0.316290587	0.001489461
541	9.51E-06	0.022684824	91.10101318	0.393307269	0.002048024
542	1.93E-05	0.013205844	90.37036896	0.365847737	0.00257295 
543	1.43E-05	0.008052673	89.6697464	0.320440292	0.002636883
544	1.17E-05	0.005367678	88.88243103	0.328652203	0.002092134
545	1.20E-05	0.003848604	88.16344452	0.406899482	0.001327291
546	9.79E-06	0.002815634	87.50069427	0.589900494	0.000748222
547	1.29E-05	0.002060026	86.99874115	0.959190011	0.000437098
548	1.17E-05	0.001503283	86.47076416	1.649734139	0.000287393
549	1.52E-05	0.001237666	86.09238434	2.796354294	0.0002185  
550	2.64E-05	0.00096382	85.73318481	4.342550278	0.000179258
551	2.80E-05	0.000830858	85.29189301	5.973901272	0.000158875
552	3.02E-05	0.000697138	84.72419739	7.387700081	0.000165475
553	1.96E-05	0.000585596	84.04386139	8.535587311	0.000175844
554	1.46E-05	0.00049936	83.32198334	9.581703186	0.000187536
555	1.03E-05	0.000436018	82.51564789	10.63733292	0.000213632
556	9.41E-06	0.000358716	81.71755219	11.76997757	0.000225706
557	1.06E-05	0.000319453	80.86601257	13.08962727	0.000256543
558	1.20E-05	0.00029531	79.98223877	14.69865131	0.000317848
559	9.76E-06	0.000255452	78.93584442	16.6813221	0.000388105
560	1.12E-05	0.000200093	77.71116638	19.03098679	0.000475698
561	1.10E-05	0.000137264	76.36205292	21.66486931	0.000526004
562	2.32E-06	9.84E-05	74.91178894	24.51567078	0.000503438
563	4.32E-06	0.000100156	73.45246887	27.66244125	0.000457699
564	1.48E-05	6.86E-05	72.00874329	31.18980789	0.000384786
565	1.29E-05	8.80E-05	70.65599823	35.50242615	0.000377319
566	1.84E-05	7.35E-05	69.42903137	40.76251984	0.000428899
567	2.26E-05	1.80E-05	68.33573151	47.06722641	0.000526443
568	1.61E-05	4.89E-05	67.37854767	54.05234146	0.000767422
569	1.69E-05	4.33E-05	66.51905823	61.08067703	0.001228686
